"Station Name","CHELSEA"
"Province","QUEBEC"
"Latitude","45.52"
"Longitude","-75.78"
"Elevation","112.50"
"Climate Identifier","7031360"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2001-01-01","2001","01","01","","-10.0","","-14.5","","-12.3","","30.3","","0.0","","0.0","","0.0","","0.0","","53","","","","",""
"2001-01-02","2001","01","02","","-8.0","","-17.5","","-12.8","","30.8","","0.0","","0.0","","0.0","","0.0","","52","","","","",""
"2001-01-03","2001","01","03","","-2.0","","-14.5","","-8.3","","26.3","","0.0","","0.0","","4.4","","4.4","","50","","","","",""
"2001-01-04","2001","01","04","","-4.0","","-10.0","","-7.0","","25.0","","0.0","","0.0","","0.0","T","0.0","T","52","","","","",""
"2001-01-05","2001","01","05","","-6.5","","-20.0","","-13.3","","31.3","","0.0","","0.0","","15.0","","15.0","","52","","","","",""
"2001-01-06","2001","01","06","","-2.5","","-10.0","","-6.3","","24.3","","0.0","","0.0","","0.0","","0.0","","65","","","","",""
"2001-01-07","2001","01","07","","-7.0","","-13.0","","-10.0","","28.0","","0.0","","0.0","","0.8","","0.8","","65","","","","",""
"2001-01-08","2001","01","08","","-5.5","","-11.0","","-8.3","","26.3","","0.0","","0.0","","1.4","","1.4","","65","","","","",""
"2001-01-09","2001","01","09","","-12.0","","-19.5","","-15.8","","33.8","","0.0","","0.0","","4.2","","4.2","","66","","","","",""
"2001-01-10","2001","01","10","","-2.0","","-18.5","","-10.3","","28.3","","0.0","","0.0","","0.0","","0.0","","68","","","","",""
