"Station Name","CHARLOTTETOWN A"
"Province","PRINCE EDWARD ISLAND"
"Latitude","46.29"
"Longitude","-63.13"
"Elevation","48.80"
"Climate Identifier","8300300"
"WMO Identifier","71706"
"TC Identifier","YYG"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2000-01-01","2000","01","01","","-1.6","","-15.6","","-8.6","","26.6","","0.0","","0.0","","2.8","","2.8","","4","","","","<31",""
"2000-01-02","2000","01","02","","1.3","","-4.1","","-1.4","","19.4","","0.0","","1.8","","1.4","","3.2","","7","","12","E","35","E"
"2000-01-03","2000","01","03","","7.8","","-5.3","","1.3","","16.7","","0.0","","4.5","","0.0","T","4.5","","3","","30","E","80","E"
"2000-01-04","2000","01","04","","11.8","","-5.1","","3.4","","14.6","","0.0","","6.8","","1.4","","8.2","","0","T","19","E","59","E"
"2000-01-05","2000","01","05","","11.4","","-11.3","","0.1","","17.9","","0.0","","21.2","","1.2","","22.4","","0","T","31","E","63","E"
"2000-01-06","2000","01","06","","-5.9","","-11.8","","-8.9","","26.9","","0.0","","0.0","","0.0","T","0.0","T","0","T","31","E","46","E"
"2000-01-07","2000","01","07","","2.9","","-6.1","","-1.6","","19.6","","0.0","","4.6","","0.3","","4.9","","0","T","17","E","46","E"
"2000-01-08","2000","01","08","","-0.5","","-10.0","","-5.3","","23.3","","0.0","","0.0","","0.0","T","0.0","T","0","T","29","E","56","E"
"2000-01-09","2000","01","09","","-0.5","","-10.0","","-5.3","","23.3","","0.0","","0.0","","6.2","","6.0","","0","T","","","<31",""
"2000-01-10","2000","01","10","","-0.6","","-7.4","","-4.0","","22.0","","0.0","","0.0","","0.0","T","0.0","T","5","","12","E","52","E"
