"Station Name","CHELSEA"
"Province","QUEBEC"
"Latitude","45.52"
"Longitude","-75.78"
"Elevation","112.50"
"Climate Identifier","7031360"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2000-01-01","2000","01","01","","0.0","","-13.0","","-6.5","","24.5","","0.0","","0.0","","0.0","","0.0","","19","","","","",""
"2000-01-02","2000","01","02","","0.5","","-4.5","","-2.0","","20.0","","0.0","","1.8","","0.8","","2.6","","","M","","","",""
"2000-01-03","2000","01","03","","-1.5","","-6.0","","-3.8","","21.8","","0.0","","6.0","","0.0","","6.0","","15","","","","",""
"2000-01-04","2000","01","04","","9.0","","-5.0","","2.0","","16.0","","0.0","","1.6","","0.0","","1.6","","12","","","","",""
"2000-01-05","2000","01","05","","-10.0","","-16.0","","-13.0","","31.0","","0.0","","0.0","","0.0","","0.0","","11","","","","",""
"2000-01-06","2000","01","06","","-1.0","","-20.5","","-10.8","","28.8","","0.0","","0.0","","0.0","","0.0","","11","","","","",""
"2000-01-07","2000","01","07","","2.0","","-6.5","","-2.3","","20.3","","0.0","","0.0","","1.6","","1.6","","11","","","","",""
"2000-01-08","2000","01","08","","2.5","","-13.0","","-5.3","","23.3","","0.0","","0.0","","0.0","","0.0","","12","","","","",""
"2000-01-09","2000","01","09","","4.0","","-2.5","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"2000-01-10","2000","01","10","","3.0","","-1.0","","1.0","","17.0","","0.0","","8.2","","5.0","","13.2","","10","","","","",""
