"Station Name","WINDSOR A"
"Province","ONTARIO"
"Latitude","42.28"
"Longitude","-82.96"
"Elevation","189.60"
"Climate Identifier","6139525"
"WMO Identifier","71538"
"TC Identifier","YQG"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2000-01-01","2000","01","01","","9.0","","-3.7","","2.7","","15.3","","0.0","","0.0","","0.0","","0.0","","0","","23","E","32","E"
"2000-01-02","2000","01","02","","13.0","","4.7","","8.9","","9.1","","0.0","","1.0","","0.0","","1.0","","0","","22","E","46","E"
"2000-01-03","2000","01","03","","9.5","","0.1","","4.8","","13.2","","0.0","","7.8","","0.0","","7.8","","0","","5","E","39","E"
"2000-01-04","2000","01","04","","12.2","","-2.6","","4.8","","13.2","","0.0","","0.0","T","0.4","","0.4","","0","","27","E","59","E"
"2000-01-05","2000","01","05","","-0.8","","-5.9","","-3.4","","21.4","","0.0","","0.0","","0.0","T","0.0","T","0","","","","<31",""
"2000-01-06","2000","01","06","","3.2","","-1.7","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","0","","21","E","39","E"
"2000-01-07","2000","01","07","","1.9","","-5.8","","-2.0","","20.0","","0.0","","0.0","","1.2","","0.4","","0","","31","E","33","E"
"2000-01-08","2000","01","08","","6.9","","-6.0","","0.5","","17.5","","0.0","","0.2","","0.0","","0.2","","0","","22","E","39","E"
"2000-01-09","2000","01","09","","4.2","","1.3","","2.8","","15.2","","0.0","","3.4","","0.0","","3.4","","0","","","","<31",""
"2000-01-10","2000","01","10","","9.5","","3.3","","6.4","","11.6","","0.0","","3.2","","0.0","","3.2","","0","","25","E","59","E"
"2000-01-11","2000","01","11","","4.0","","-0.4","","1.8","","16.2","","0.0","","0.0","","0.2","","0.0","T","0","","28","E","56","E"
"2000-01-12","2000","01","12","","0.7","","-3.2","","-1.3","","19.3","","0.0","","0.0","","2.4","","1.2","","0","","7","E","41","E"
"2000-01-13","2000","01","13","","-2.6","","-11.2","","-6.9","","24.9","","0.0","","0.0","","8.8","","7.0","","9","","2","E","48","E"
"2000-01-14","2000","01","14","","-4.2","","-12.7","","-8.5","","26.5","","0.0","","0.0","","0.0","T","0.0","T","7","","","","<31",""
"2000-01-15","2000","01","15","","1.4","","-5.7","","-2.2","","20.2","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"2000-01-16","2000","01","16","","3.1","","-10.1","","-3.5","","21.5","","0.0","","0.0","","0.0","","0.0","","4","","32","E","46","E"
"2000-01-17","2000","01","17","","-10.1","","-16.2","","-13.2","","31.2","","0.0","","0.0","","0.4","","0.2","","4","","","","<31",""
"2000-01-18","2000","01","18","","-3.2","","-10.3","","-6.8","","24.8","","0.0","","0.0","","4.6","","2.6","","5","","32","E","33","E"
"2000-01-19","2000","01","19","","-3.0","","-9.0","","-6.0","","24.0","","0.0","","0.0","","5.0","","5.0","","8","","","","<31",""
"2000-01-20","2000","01","20","","-4.3","","-14.7","","-9.5","","27.5","","0.0","","0.0","","4.6","","3.0","","13","","33","E","46","E"
"2000-01-21","2000","01","21","","-9.1","","-14.3","","-11.7","","29.7","","0.0","","0.0","","0.0","T","0.0","T","14","","30","E","35","E"
"2000-01-22","2000","01","22","","-7.1","","-16.6","","-11.9","","29.9","","0.0","","0.0","","2.4","","1.8","","14","","","","<31",""
"2000-01-23","2000","01","23","","0.5","","-8.1","","-3.8","","21.8","","0.0","","0.0","","0.2","","0.0","T","16","","27","E","37","E"
"2000-01-24","2000","01","24","","-6.5","","-14.0","","-10.3","","28.3","","0.0","","0.0","","0.6","","0.2","","15","","","","<31",""
"2000-01-25","2000","01","25","","-5.9","","-16.2","","-11.1","","29.1","","0.0","","0.0","","3.2","","2.0","","13","","34","E","48","E"
"2000-01-26","2000","01","26","","-8.0","","-13.2","","-10.6","","28.6","","0.0","","0.0","","0.0","T","0.0","T","14","","34","E","39","E"
"2000-01-27","2000","01","27","","-7.8","","-13.9","","-10.9","","28.9","","0.0","","0.0","","0.0","","0.0","","12","","33","E","32","E"
"2000-01-28","2000","01","28","","-0.9","","-13.0","","-7.0","","25.0","","0.0","","0.0","","0.0","","0.0","","11","","","","<31",""
"2000-01-29","2000","01","29","","-2.7","","-13.2","","-8.0","","26.0","","0.0","","0.0","","0.0","","0.0","","9","","","","<31",""
"2000-01-30","2000","01","30","","-0.3","","-5.7","","-3.0","","21.0","","0.0","","0.0","","2.0","","1.8","","8","","","","<31",""
"2000-01-31","2000","01","31","","-0.7","","-6.8","","-3.8","","21.8","","0.0","","0.0","","0.4","","0.2","","8","","24","E","52","E"
"2000-02-01","2000","02","01","","-0.9","","-5.9","","-3.4","","21.4","","0.0","","0.0","","0.2","","0.0","T","7","","33","E","44","E"
