"Station Name","CHELSEA"
"Province","QUEBEC"
"Latitude","45.52"
"Longitude","-75.78"
"Elevation","112.50"
"Climate Identifier","7031360"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1999-01-01","1999","01","01","","-22.0","","-25.0","E","-23.5","E","41.5","E","0.0","E","0.0","","0.0","","0.0","","11","E","","","",""
"1999-01-02","1999","01","02","","-12.0","","-31.0","","-21.5","","39.5","","0.0","","0.0","","18.0","","18.0","","11","","","","",""
"1999-01-03","1999","01","03","","-4.5","","-18.0","","-11.3","","29.3","","0.0","","0.0","","3.0","","3.0","","26","","","","",""
"1999-01-04","1999","01","04","","-5.0","","-14.0","","-9.5","","27.5","","0.0","","0.0","","2.0","","2.0","","35","","","","",""
"1999-01-05","1999","01","05","","-11.0","","-30.0","","-20.5","","38.5","","0.0","","0.0","","1.0","","1.0","","36","","","","",""
"1999-01-06","1999","01","06","","-5.0","","-23.0","","-14.0","","32.0","","0.0","","0.0","","2.0","","2.0","","36","","","","",""
"1999-01-07","1999","01","07","","-15.0","","-25.0","","-20.0","","38.0","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"1999-01-08","1999","01","08","","-10.0","","-25.0","","-17.5","","35.5","","0.0","","0.0","","2.0","","2.0","","38","","","","",""
"1999-01-09","1999","01","09","","-7.0","","-11.0","","-9.0","","27.0","","0.0","","0.0","","3.0","","3.0","","40","","","","",""
"1999-01-10","1999","01","10","","-11.0","","-28.0","","-19.5","","37.5","","0.0","","0.0","","3.0","","3.0","","39","","","","",""
"1999-01-11","1999","01","11","","-11.0","","-28.0","","-19.5","","37.5","","0.0","","0.0","","7.0","","7.0","","40","","","","",""
"1999-01-12","1999","01","12","","-10.5","","-28.0","","-19.3","","37.3","","0.0","","0.0","","8.0","","8.0","","47","","","","",""
"1999-01-13","1999","01","13","","-23.0","","-25.0","","-24.0","","42.0","","0.0","","0.0","","0.0","","0.0","","54","","","","",""
"1999-01-14","1999","01","14","","-11.0","","-30.0","","-20.5","","38.5","","0.0","","0.0","","11.2","","11.2","","40","","","","",""
"1999-01-15","1999","01","15","","-7.0","","-22.0","","-14.5","","32.5","","0.0","","0.0","","4.0","","4.0","","51","","","","",""
"1999-01-16","1999","01","16","","4.0","","-22.0","","-9.0","","27.0","","0.0","","0.0","","0.4","","0.4","","57","","","","",""
"1999-01-17","1999","01","17","","6.0","","-2.0","","2.0","","16.0","","0.0","","0.2","","0.0","","0.2","","56","","","","",""
"1999-01-18","1999","01","18","","2.0","","-7.0","","-2.5","","20.5","","0.0","","18.2","","0.0","","18.2","","52","","","","",""
"1999-01-19","1999","01","19","","3.0","","0.0","","1.5","","16.5","","0.0","","0.8","","1.0","","1.8","","47","","","","",""
"1999-01-20","1999","01","20","","3.0","","-5.0","","-1.0","","19.0","","0.0","","0.0","","1.2","","1.2","","45","","","","",""
"1999-01-21","1999","01","21","","1.0","","-6.5","","-2.8","","20.8","","0.0","","0.0","","2.2","","2.2","","46","","","","",""
"1999-01-22","1999","01","22","","1.0","","-7.0","","-3.0","","21.0","","0.0","","13.0","E","1.4","","14.4","E","48","","","","",""
