"Station Name","CHARLOTTETOWN A"
"Province","PRINCE EDWARD ISLAND"
"Latitude","46.29"
"Longitude","-63.13"
"Elevation","48.80"
"Climate Identifier","8300300"
"WMO Identifier","71706"
"TC Identifier","YYG"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1999-01-01","1999","01","01","","-11.4","","-20.9","","-16.2","","34.2","","0.0","","0.0","","0.4","","0.2","","3","","30","E","56","E"
"1999-01-02","1999","01","02","","-14.6","","-23.3","","-19.0","","37.0","","0.0","","0.0","","0.6","","0.0","T","3","","27","E","61","E"
"1999-01-03","1999","01","03","","1.0","","-16.0","","-7.5","","25.5","","0.0","","4.0","","0.0","T","4.0","","3","","14","E","54","E"
"1999-01-04","1999","01","04","","6.9","","-5.1","","0.9","","17.1","","0.0","","4.3","","0.2","","4.5","","1","","15","E","65","E"
"1999-01-05","1999","01","05","","-4.4","","-14.2","","-9.3","","27.3","","0.0","","0.0","","0.0","","0.0","","1","","27","E","39","E"
"1999-01-06","1999","01","06","","-6.1","","-15.9","","-11.0","","29.0","","0.0","","0.0","","0.0","","0.0","","1","","17","E","46","E"
"1999-01-07","1999","01","07","","0.4","","-15.3","","-7.5","","25.5","","0.0","","0.0","","0.8","","0.6","","1","","28","E","63","E"
"1999-01-08","1999","01","08","","-9.2","","-17.2","","-13.2","","31.2","","0.0","","0.0","","0.0","T","0.0","T","1","","27","E","50","E"
"1999-01-09","1999","01","09","","11.3","","-9.4","","1.0","","17.0","","0.0","","19.8","","10.0","","28.8","","10","","19","E","69","E"
"1999-01-10","1999","01","10","","6.1","","-7.8","","-0.9","","18.9","","0.0","","0.2","","1.0","","1.2","","0","T","28","E","41","E"
"1999-01-11","1999","01","11","","-3.1","","-9.9","","-6.5","","24.5","","0.0","","0.0","","0.2","","0.0","T","0","T","30","E","33","E"
"1999-01-12","1999","01","12","","1.4","","-13.7","","-6.2","","24.2","","0.0","","1.0","","0.6","","1.6","","0","T","21","E","61","E"
"1999-01-13","1999","01","13","","-7.9","","-19.2","","-13.6","","31.6","","0.0","","0.0","","14.8","","14.6","","1","","33","E","65","E"
"1999-01-14","1999","01","14","","-15.5","","-20.8","","-18.2","","36.2","","0.0","","0.0","","0.7","","0.7","","14","","33","E","46","E"
"1999-01-15","1999","01","15","","4.8","","-15.8","","-5.5","","23.5","","0.0","","2.8","","0.4","","3.2","","14","","14","E","63","E"
"1999-01-16","1999","01","16","","7.1","","-3.0","","2.1","","15.9","","0.0","","13.5","","0.0","T","13.5","","3","","27","","72",""
"1999-01-17","1999","01","17","","4.7","","-0.6","","2.1","","15.9","","0.0","","0.0","T","0.0","T","0.0","T","3","","27","E","61","E"
